codigo;titulo;tipo_publicacion;anio_publicacion;indexacion;orden_autor;autores;nombre_afiliacion
4809;Applying Maturity Models in Organizations for Digital Transformation: A Comparative Study;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;1;Juan Francisco Reyes Coellar;Universidad de Cuenca, Departamento de Ciencias de la Computación
4845;Intelligent PillBox: Automatic and Programmable Assistive Technology Device;ARTÍCULO DE CONFERENCIA;2017;SCOPUS;4;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
4870;Management Tools for Process Mapping and Modeling in Assembly Industry;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;5;Lorena Catalina Siguenza Guzman;Universidad de Cuenca, Departamento de Ciencias de la Computación
4889;Improving Cognitive Functions in Older People: Stroop Task Solution;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;Katerine Daniela Prado Cabrera;Universidad de Cuenca, Departamento de Ciencias de la Computación
4899;Empirical Evaluation of a Method for Monitoring Cloud Services Based on Models at Runtime;ARTÍCULO;2021;SCOPUS;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
4909;owards a Selection and Acquisition Method for IoT Devices Oriented to Older People in Ecuador;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;Jorge Esteban Galan Galan;Universidad de Cuenca, Departamento de Ciencias de la Computación
4926;Towards the Evaluation of the Usability and Portability of Serious Games;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;Moises Santiago Arevalo Angamarca;Universidad de Cuenca, Departamento de Ciencias de la Computación
4931;Evaluating functional suitability of domain-specific languages oriented to create interactions for cognitive training;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;David Enrique Santos Leon;Universidad de Cuenca, Departamento de Ciencias de la Computación
4944;Usability model of augmentative and alternative communication systems and pictographic systems in people with disabilities;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;Freddy Andres Abad Rojas;Universidad de Cuenca, Departamento de Ciencias de la Computación
4952;Annotating OGC web feature services automatically for generating geospatial knowledge graphs;ARTÍCULO;2021;SCOPUS;1;Victor Hugo Saquicela Galarza;Universidad de Cuenca, Departamento de Ciencias de la Computación
4980;Application of the LSA technique to determine the priority of alerts from a command and control center;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;5;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
4989;Quality Model for CloudIot Applied in Ambient Assisted Living (AAL);ARTÍCULO DE CONFERENCIA;2021;SCOPUS;3;Alexandra Elizabeth Bermeo Arpi;Universidad de Cuenca, Departamento de Ciencias de la Computación
4992;Cognitive Interventions Based on Technology: A Systematic Literature Review;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;6;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
4994;Towards the Evaluation of the Performance Efficiency of Fog Computing Applications;ARTÍCULO DE CONFERENCIA;2021;SCOPUS;1;Wilson Fernando Valdez Solis;Universidad de Cuenca, Departamento de Ciencias de la Computación
